"name","lat","lon","points_extract"
"araguaiensis",-8.05,-50.17,294
"araguaiensis",-8.05,-50.17,294
"aspera",-1.860556,-54.082778,158
"aspera",-2.031944,-54.206944,96
"aspera",-1.714167,-54.748889,53
"aspera",-1.424906,-48.42,17
"aspera",-2.424906,-48.42,42
"aspera",-0.854722,-48.539167,17
"aspera",5.561389,-68.449778,83
"aspera",-7.056586,-51.409722,233
"aspera",13.575583,-84.323778,62
"aspera",8.553042,-75.196161,24
"aspera",-9.188055,-62.948611,112
"aspera",-0.823333,-48.095,14
"aspera",3.552611,-71.620611,194
"aspera",4.120583,-71.529667,164
"aspera",6.223806,-69.880056,96
"aspera",6.269583,-69.680456,97
"aspera",-0.944058,-48.020847,27
"aspera",-3.844178,-51.832289,160
"aspera",-2.500833,-45.775,30
"aspera",-2.485639,-45.778611,23
"aspera",1.7744,-61.1522,51
"aspera",1.7731,-61.1514,51
"aspera",1.477861,-60.997778,78
"aspera",1.477861,-60.984778,78
"aspera",4.596111,-60.158056,549
"aspera",-4.596111,-60.158056,43
"aspera",6.379417,-71.931833,1037
"aspera",-9.651667,-60.709444,156
"aspera",-0.702222,-51.6,9
"aspera",-9.653056,-65.171389,112
"aspera",1.490083,-61,67
"aspera",3.791389,-56.149722,304
"aspera",-1.483333,-61,66
"aspera",3.79144,-56.1496,304
"aspera",3.79144,-56.14961,304
"aspera",2.659426,-60.860145,79
"aspera",0.818,-61.657,42
"aspera",-1.063194,-46.752139,22
"aspera",6.088917,-67.710389,57
"aspera",6.069944,-67.753972,68
"aspera",-1.478806,-60.969,69
"aspera",-4.492356,-61.16415,48
"aspera",-3.391944,-61.442139,40
"aspera",-3.33825,-61.404056,45
"aspera",-3.391944,-61.442222,40
"aspera",-4.492222,-61.164167,48
"aspera",-1.478889,-60.968889,69
"aspera",-1.4789,-60.9689,69
"aspera",-4.4922,-61.1642,48
"aspera",-11.276475,-37.431192,31
"aspera",1.049917,-61.25,52
"aspera",-9.445833,-64.78,106
"aspera",1.049917,-61.249667,45
"aspera",-9.445833,-64.779722,106
"aspera",-1.05,-61.25,39
"aspera",-9.4458,-64.7797,106
"aspera",-0.896111,-51.8875,13
"aspera",-2.534444,-54.908056,63
"aspera",-2.5344,-54.9081,63
"aspera",-0.604722,-47.5775,11
"aspera",1.428083,-60.98,57
"aspera",2.785341,-61.01,83
"aspera",1.428083,-60.982889,57
"aspera",1.468278,-61.006889,67
"aspera",1.428,-60.983,57
"aspera",2.8,-72.09,172
"aspera",1.318329,-61.131878,51
"aspera",-0.5767,-51.1758,20
"aspera",1.318329,-61.131878,51
"aspera",16.631389,-88.485,40
"aspera",16.611389,-88.459444,32
"aspera",-3.198617,-52.210331,134
"aspera",-3.196111,-52.212222,134
"aspera",16.611389,-88.459444,32
"aspera",-9.311667,-64.606111,127
"aspera",-12.85436,-67.65336,176
"aspera",-12.854361,-67.653361,176
"aspera",-0.603056,-47.579722,11
"aspera",14.12694,-83.44166,51
"aspera",5.08,-52.59,11
"aspera",2.7395,-61.13,85
"aspera",2.7395,-61.13,85
"aspera",-8.655667,-64.36,92
"aspera",-8.655556,-64.361389,92
"aspera",5.23,-52.78,9
"aspera",5.23194,-52.78278,9
"aspera",4.69,-52.38,42
"aspera",2.5,-72.64,284
"aspera",-6.333056,-49.934444,570
"aspera",-4.7425,-42.532222,123
"aspera",6.1015,-67.521944,51
"aspera",4.94972,-52.44361,18
"aspera",3.59,-67.44,91
"aspera",5.305556,-67.943333,80
"aspera",4.583333,-52.266667,44
"aspera",4.61164,-56.5068,77
"aspera",4.61164,-56.50683,77
"aspera",4.612,-56.507,77
"aspera",2.5,-53.83333,213
"aspera",2.6,-54.02,187
"aspera",2.608333,-54.029167,187
"aspera",2.60833,-54.02917,187
"aspera",2.864167,-60.72,76
"aspera",3.02,-73.16,237
"aspera",4.78,-52.43,27
"aspera",4.783333,-52.433333,27
"aspera",1.443808,-60.83,70
"aspera",-3.208056,-43.403333,63
"aspera",14.216667,-83.35,13
"aspera",-6.08333,-77.1,829
"aspera",-16.1,-61.98333,474
"aspera",-0.066667,-51.516667,22
"aspera",-12.78333,-66.56666,171
"aspera",-4.083333,-41.733333,172
"aspera",-0.433333,-64,43
"aspera",0.33,-51.25,37
"aspera",-5.026461,-42.420771,172
"aspera",-52.081667,-60.6325,123
"aspera",5.61417,-66.1024,130
"aspera",4.75,-70.45,121
"aspera",1.65139,-58.6472,242
"aspera",1.663889,-58.772222,269
"aspera",1.651389,-58.647222,242
"aspera",-14.705,-61.16027,177
"aspera",-14.60361,-61.49111,287
"aspera",-12.3,-60.38,355
"aspera",-0.305,-60.386944,100
"aspera",-14.57944,-60.9125,216
"aspera",4.7364,-58.7017,66
"aspera",2,-59.56667,265
"aspera",3.94972,-58.8675,123
"aspera",4.097222,-58.875,142
"aspera",3.949722,-58.8675,123
"aspera",4.41667,-58.8333,88
"aspera",4.416667,-58.833333,88
"aspera",4.416667,-58.833333,88
"aspera",4.15,-59.0667,78
"aspera",4.15,-59.066667,78
"aspera",4.15,-59.066667,78
"aspera",5.64,-67.38,144
"aspera",-15,-59.95,199
"aspera",-14.74333,-61.02,173
"aspera",4.15,-59.0333,96
"aspera",4.15,-59.03,96
"aspera",4.15,-59.033333,96
"aspera",5.18917,-57.2853,19
"aspera",5.189167,-57.285278,19
"aspera",4.16667,-59.05,145
"aspera",4.166667,-59.05,145
"aspera",4.17,-59.05,145
"aspera",4.166667,-59.05,145
"aspera",3.433333,-59.766667,85
"aspera",3.43333,-59.76666,85
"aspera",3.43,-59.77,85
"aspera",3.3,-59.65,192
"aspera",6.5,-58.16666,20
"aspera",2.67,-59.42,135
"aspera",6.5,-58.1667,28
"aspera",5.458333,-55.191667,21
"aspera",5.45,-55.19,21
"aspera",2.775306,-72.292664,183
"aspera",4.58333,-58.7333,103
"aspera",4.583333,-58.733333,103
"aspera",4.583333,-58.733333,103
"aspera",2.72,-72.29,182
"aspera",14.106667,-83.328889,3
"aspera",2.58,-59.37,151
"aspera",2.5,-59.28333,175
"aspera",5.541667,-55.191667,18
"aspera",2.5,-59.2833,175
"aspera",2.5,-59.283333,175
"aspera",2.5,-59.283333,175
"aspera",5.5417,-55.1917,18
"aspera",2.5,-59.28,175
"aspera",-14.74361,-60.96083,173
"aspera",4.8,-60.3,911
"aspera",5.5,-70.47,109
"aspera",-14.6069,-60.8564,207
"aspera",4.81667,-60.0167,655
"aspera",4.48333,-52.31667,57
"aspera",4.36,-67.73,109
"aspera",14.16666,-83.41666,35
"aspera",-2.48,-45,6
"aspera",5.71667,-57.95,35
"aspera",5.716667,-57.95,35
"aspera",5.716667,-57.95,35
"aspera",5.72,-57.95,35
"aspera",2.48333,-54.75,343
"aspera",5.4,-67.61,151
"aspera",4.9,-68.333336,108
"aspera",4.55,-71.333336,165
"aspera",4.9,-68.33333,100
"aspera",4.55,-71.33333,170
"aspera",4.48333,-52.31666,57
"aspera",-8.266667,-72.78,218
"aspera",-8.26666,-72.78333,218
"aspera",-8.27,-72.78,218
"aspera",5.41,-53.06,15
"aspera",5.41667,-53.06667,6
"aspera",4.71667,-52.28333,14
"aspera",6.5,-58.383333,53
"aspera",6.5,-58.38,53
"aspera",5.35,-57.37,39
"aspera",5.33,-57.35,31
"aspera",5.36666,-58.11666,47
"aspera",6.2,-59.25,142
"aspera",5.08333,-52.7,32
"aspera",1.65,-58.63333,242
"aspera",7.11,-63.23,284
"aspera",5.15,-67.75,88
"aspera",5.55,-57.66666,32
"aspera",6.41667,-58.25,27
"aspera",5.316667,-61.05,1010
"aspera",-2.483333,-54.95,26
"aspera",5,-61.16666,930
"aspera",4.58333,-52.33333,27
"aspera",4.97,-52.43,12
"aspera",4.966667,-52.433333,12
"aspera",0.366667,-51.066667,24
