"specificEpithet","day","month","year","lat","lon"
"aspera",27,5,2010,-0.604722,-47.5775
"aspera",18,7,2010,1.428083,-60.98
"aspera",24,7,2010,2.785341,-61.01
"aspera",18,7,2010,1.428083,-60.982889
"aspera",24,7,2010,1.468278,-61.006889
"aspera",18,7,2010,1.428,-60.983
"aspera",1,7,2010,2.8,-72.09
"aspera",20,7,2010,1.318329,-61.131878
"aspera",21,7,2010,-0.5767,-51.1758
"aspera",15,9,2010,1.318329,-61.131878
"aspera",30,11,2010,16.631389,-88.485
"aspera",30,11,2010,16.611389,-88.459444
"aspera",16,12,2010,-3.198617,-52.210331
"aspera",16,12,2010,-3.196111,-52.212222
"aspera",1,12,2010,16.611389,-88.459444
"aspera",5,1,2009,-9.311667,-64.606111
"aspera",26,5,2009,-12.85436,-67.65336
"aspera",26,5,2009,-12.854361,-67.653361
"aspera",5,9,2009,-0.603056,-47.579722
"aspera",14,6,2008,14.12694,-83.44166
"aspera",12,8,2008,5.08,-52.59
"aspera",13,3,2007,2.7395,-61.13
"aspera",14,3,2007,2.7395,-61.13
"aspera",24,4,2007,-8.655667,-64.36
"aspera",24,4,2007,-8.655556,-64.361389
"aspera",11,5,2007,5.23,-52.78
"aspera",11,5,2007,5.23194,-52.78278
"aspera",10,6,2007,4.69,-52.38
"aspera",5,8,2007,2.5,-72.64
"aspera",13,12,2007,-6.333056,-49.934444
"aspera",19,5,2005,-4.7425,-42.532222
"aspera",14,8,2005,6.1015,-67.521944
"aspera",2,8,2005,4.94972,-52.44361
"aspera",5,10,2005,3.59,-67.44
"aspera",17,2,2004,5.305556,-67.943333
"aspera",23,2,2004,4.583333,-52.266667
"aspera",10,3,2004,4.61164,-56.5068
"aspera",10,3,2004,4.61164,-56.50683
"aspera",10,3,2004,4.612,-56.507
"aspera",17,4,2004,2.5,-53.83333
"aspera",28,6,2004,2.6,-54.02
"aspera",28,6,2004,2.608333,-54.029167
"aspera",28,6,2004,2.60833,-54.02917
"aspera",16,7,2004,2.864167,-60.72
"aspera",8,12,2004,3.02,-73.16
"aspera",14,2,2003,4.78,-52.43
"aspera",14,2,2003,4.783333,-52.433333
"aspera",21,5,2003,1.443808,-60.83
"aspera",NA,NA,2003,-3.208056,-43.403333
"aspera",26,4,2002,14.216667,-83.35
"aspera",30,3,2001,-6.08333,-77.1
"aspera",17,4,2001,-16.1,-61.98333
"aspera",21,4,2001,-0.066667,-51.516667
"aspera",17,8,2000,-12.78333,-66.56666
"aspera",27,6,1999,-4.083333,-41.733333
"aspera",16,8,1999,-0.433333,-64
"aspera",23,9,1999,0.33,-51.25
"aspera",13,4,1998,-5.026461,-42.420771
"aspera",24,6,1998,-52.081667,-60.6325
"aspera",26,7,1998,5.61417,-66.1024
"aspera",1,7,1998,4.75,-70.45
"aspera",18,9,1998,1.65139,-58.6472
"aspera",18,9,1998,1.663889,-58.772222
"aspera",NA,9,1998,1.651389,-58.647222
"aspera",21,1,1997,-14.705,-61.16027
"aspera",19,3,1997,-14.60361,-61.49111
"aspera",26,5,1997,-12.3,-60.38
"aspera",26,5,1997,-0.305,-60.386944
"aspera",5,7,1997,-14.57944,-60.9125
"aspera",7,9,1997,4.7364,-58.7017
"aspera",7,9,1997,2,-59.56667
"aspera",2,10,1997,3.94972,-58.8675
"aspera",2,10,1997,4.097222,-58.875
"aspera",NA,10,1997,3.949722,-58.8675
"aspera",23,3,1996,4.41667,-58.8333
"aspera",23,3,1996,4.416667,-58.833333
"aspera",NA,3,1996,4.416667,-58.833333
"aspera",5,4,1996,4.15,-59.0667
"aspera",5,4,1996,4.15,-59.066667
"aspera",NA,4,1996,4.15,-59.066667
"aspera",9,11,1996,5.64,-67.38
"aspera",16,11,1996,-15,-59.95
"aspera",23,1,1995,-14.74333,-61.02
"aspera",26,2,1995,4.15,-59.0333
"aspera",26,2,1995,4.15,-59.03
"aspera",26,2,1995,4.15,-59.033333
"aspera",1,4,1995,5.18917,-57.2853
"aspera",NA,4,1995,5.189167,-57.285278
"aspera",16,5,1995,4.16667,-59.05
"aspera",NA,5,1995,4.166667,-59.05
"aspera",16,5,1995,4.17,-59.05
"aspera",16,5,1995,4.166667,-59.05
"aspera",30,7,1995,3.433333,-59.766667
"aspera",30,7,1995,3.43333,-59.76666
"aspera",30,7,1995,3.43,-59.77
"aspera",18,7,1995,3.3,-59.65
"aspera",16,8,1995,6.5,-58.16666
"aspera",20,8,1995,2.67,-59.42
"aspera",16,8,1995,6.5,-58.1667
"aspera",17,10,1995,5.458333,-55.191667
"aspera",17,10,1995,5.45,-55.19
"aspera",31,10,1995,2.775306,-72.292664
"aspera",20,11,1995,4.58333,-58.7333
"aspera",20,11,1995,4.583333,-58.733333
"aspera",NA,11,1995,4.583333,-58.733333
"aspera",2,11,1995,2.72,-72.29
"aspera",24,2,1994,14.106667,-83.328889
"aspera",2,2,1994,2.58,-59.37
"aspera",13,6,1994,2.5,-59.28333
"aspera",12,6,1994,5.541667,-55.191667
"aspera",13,6,1994,2.5,-59.2833
"aspera",13,6,1994,2.5,-59.283333
"aspera",NA,6,1994,2.5,-59.283333
"aspera",12,6,1994,5.5417,-55.1917
"aspera",13,6,1994,2.5,-59.28
"aspera",7,7,1994,-14.74361,-60.96083
"aspera",14,7,1994,4.8,-60.3
"aspera",9,9,1994,5.5,-70.47
"aspera",14,10,1994,-14.6069,-60.8564
"aspera",16,1,1993,4.81667,-60.0167
"aspera",11,2,1993,4.48333,-52.31667
"aspera",30,5,1993,4.36,-67.73
"aspera",15,7,1993,14.16666,-83.41666
"aspera",15,7,1993,12.16666,-83.41666
"aspera",10,8,1993,-2.48,-45
"aspera",14,8,1993,5.71667,-57.95
"aspera",14,8,1993,5.716667,-57.95
"aspera",NA,8,1993,5.716667,-57.95
"aspera",14,8,1993,5.72,-57.95
"aspera",10,8,1993,2.48333,-54.75
"aspera",9,12,1993,5.4,-67.61
"aspera",15,12,1993,4.9,-68.333336
"aspera",10,12,1993,4.55,-71.333336
"aspera",15,12,1993,4.9,-68.33333
"aspera",10,12,1993,4.55,-71.33333
"aspera",NA,NA,1993,4.48333,-52.31666
"aspera",22,3,1992,-8.266667,-72.78
"aspera",22,3,1992,-8.26666,-72.78333
"aspera",22,3,1992,-8.27,-72.78
"aspera",26,5,1992,5.41,-53.06
"aspera",26,5,1992,5.41667,-53.06667
"aspera",17,9,1992,4.71667,-52.28333
"aspera",NA,11,1992,6.5,-58.383333
"aspera",28,11,1992,6.5,-58.38
"aspera",26,4,1990,5.35,-57.37
"aspera",25,4,1990,5.33,-57.35
"aspera",NA,NA,1990,5.36666,-58.11666
"aspera",2,3,1989,6.2,-59.25
"aspera",9,6,1989,5.08333,-52.7
"aspera",3,9,1989,1.65,-58.63333
"aspera",13,9,1989,7.11,-63.23
"aspera",NA,10,1989,5.15,-67.75
"aspera",NA,NA,1989,5.55,-57.66666
"aspera",18,3,1988,6.41667,-58.25
"aspera",28,4,1988,5.316667,-61.05
"aspera",12,5,1988,-2.483333,-54.95
"aspera",3,5,1988,5,-61.16666
"aspera",11,6,1988,4.58333,-52.33333
"aspera",29,6,1988,4.97,-52.43
"aspera",29,6,1988,4.966667,-52.433333
"aspera",12,7,1988,0.366667,-51.066667
"aspera",10,9,1988,3.883333,-58.916667
"aspera",10,9,1988,3.88,-58.91
"aspera",10,9,1988,3.88,-58.92
"aspera",13,2,1987,3.37,-61.42
"aspera",31,3,1987,-12.5,-64.133333
"aspera",10,4,1987,-10.73,-65.25
"aspera",12,4,1987,5.6,-57.58
"aspera",NA,4,1987,5.6,-57.583333
"aspera",13,4,1987,5.6,-57.58
"aspera",10,4,1987,-10.733333,-65.25
"aspera",8,6,1987,-12.45,-67.616667
"aspera",8,6,1987,-12.45,-67.62
"aspera",28,8,1987,-1.5,-60.67
"aspera",25,8,1987,4.1642,-60.58
"aspera",15,8,1987,2.883333,-54.07
"aspera",25,8,1987,1.3,-60.58
"aspera",25,8,1987,1.3,-60.58333
"aspera",25,8,1987,0.3,-60.583333
"aspera",15,8,1987,2.88,-54.06
"aspera",NA,8,1987,2.883333,-54.066667
"aspera",25,8,1987,1.289304,-60.542693
"aspera",27,8,1987,2.6,-54.01667
"aspera",15,8,1987,2.88333,-54.06667
"aspera",4,10,1987,-10.733333,-65.25
"aspera",NA,NA,1987,-10.73333,-65.25
"aspera",26,3,1986,-1.083333,-53.17
"aspera",26,3,1986,-0.183333,-50.733333
"aspera",1,3,1986,-3.03,-60.58
"aspera",26,3,1986,-1.08,-53.17
"aspera",NA,3,1986,-3.033333,-60.583333
"aspera",26,3,1986,-1.05,-52.7
"aspera",NA,4,1986,-3.033333,-60.583333
"aspera",21,4,1986,-3.03,-60.58
"aspera",5,6,1986,3.61666,-53.2
"aspera",5,6,1986,3.61,-53.2
"aspera",5,6,1986,3.62,-53.2
"aspera",5,6,1986,3.61667,-53.2
"aspera",7,6,1986,3.61667,-53.2
"aspera",4,8,1986,-2.666667,-60.33
"aspera",4,8,1986,-2.67,-60.33
"aspera",4,8,1986,-2.666667,-60.333333
"aspera",21,10,1986,4.66666,-61.55
"aspera",17,12,1986,5.71666,-57.53333
"aspera",18,12,1986,5.72,-57.53
"aspera",17,12,1986,5.72,-57.53
"aspera",19,12,1986,5.6,-57.58
"aspera",19,12,1986,5.6,-57.58333
"aspera",16,2,1985,3.1,-59.4
"aspera",NA,2,1985,3.1,-59.4
"aspera",6,3,1985,5.3,-69.01666
"aspera",17,3,1985,4.91667,-52.5
"aspera",6,3,1985,5.3,-68.016667
"aspera",22,8,1985,-0.516667,-76.4
"aspera",NA,8,1985,-3.033333,-60.583333
"aspera",18,8,1985,-3.033333,-60.583333
"aspera",22,8,1985,-0.72,-52.52
"aspera",19,10,1985,4.5,-61.58333
"aspera",29,10,1985,4.5,-61.5
"aspera",14,3,1984,0.616667,-53.2
"aspera",18,3,1984,1.65317,-61.056497
"aspera",14,3,1984,-6.055124,-50.173616
"aspera",8,4,1984,4.2,-51.65
"aspera",2,8,1984,5.33,-55.5
"aspera",14,11,1984,4.81,-67.43
"aspera",NA,NA,1984,-13.08333,-67.25
"aspera",6,2,1983,14.03333,-83.4
"aspera",7,2,1983,14.03333,-83.38333
"aspera",NA,6,1983,5.016667,-61.133333
"aspera",20,6,1983,5.02,-61.13
"aspera",27,7,1983,4.36,-61.75
"aspera",6,5,1982,-8,-63
"aspera",6,5,1982,-0.133333,-63
"aspera",6,5,1982,-7.7997,-63.1692
"aspera",5,6,1982,-5,-63
"aspera",25,7,1982,4.31666,-61.73333
"aspera",4,7,1982,13.55,-84.3
"aspera",25,9,1982,7.35,-62.71
"aspera",25,9,1982,7.35,-62.72
"aspera",27,10,1982,13.50138,-84.25277
"aspera",NA,10,1982,4.65,-60.95
"aspera",6,3,1981,13.55,-84.28333
"aspera",7,3,1981,13.53333,-84.23333
"aspera",9,3,1981,14.08333,-83.33333
"aspera",9,3,1981,14.01666,-83.4
"aspera",10,4,1981,7.46666,-63.23333
"aspera",2,4,1981,11.983333,-83.766667
"aspera",23,4,1981,-0.083333,-47.533333
"aspera",23,4,1981,-2.44666616415804,-54.7089799919966
"aspera",NA,6,1981,3.233333,-8.566667
"aspera",4,8,1981,-1.583333,-55.53
"aspera",4,8,1981,-0.98333,-54.98333
"aspera",4,8,1981,-0.220997,-55.16572
"aspera",NA,10,1981,5.916667,-57.9
"aspera",22,2,1980,-7.516667,-63.17
"aspera",22,2,1980,-7.516667,-63.166667
"aspera",29,3,1980,-1.05,-48.12
"aspera",29,3,1980,-1.05,-48.116667
"aspera",14,5,1980,5.36666,-67.55
"aspera",14,5,1980,5.37,-67.55
"aspera",13,8,1980,-2.17505641973007,-56.7457052359991
"aspera",8,11,1980,5.61,-66.13
"aspera",24,2,1979,13.53333,-84.5
"aspera",4,3,1979,14.71666,-84.1
"aspera",5,3,1979,14.5,-83.833333
"aspera",12,8,1979,14.11555,-87.19472
"aspera",30,9,1979,13.883333,-86.933333
"aspera",22,10,1979,3.47,-59.68
"aspera",7,10,1979,14.45333,-86.66888
"aspera",22,10,1979,3.466667,-59.683333
"aspera",9,10,1979,5.31,-66.28
"aspera",NA,10,1979,3.466667,-59.683333
"aspera",20,10,1979,3.47,-59.68
"aspera",25,10,1979,0.7772,-51.9517
"aspera",7,10,1979,-0.369966872567232,-51.0670524556655
"aspera",9,10,1979,5.32,-66.28
"aspera",22,10,1979,3.46667,-59.68333
"aspera",7,11,1979,5.8,-67.333333
"aspera",31,1,1978,4.78,-52.35
"aspera",18,4,1978,14.683333,-84.05
"aspera",19,4,1978,14.683333,-83.5
"aspera",21,4,1978,14.091667,-83.333333
