"name","lat","lon","identifiedBy","splink_ident_extract"
"aspera",5.61,-66.13,"Wurdack, J. J., (US), US (UNITED STATES)",172
"aspera",5.31,-66.28,"Wurdack, J. J., (US), US (UNITED STATES)",535
"aspera",4.78,-52.35,"Wurdack, J. J., (US), US (UNITED STATES)",17
"aspera",5.85,-67.41666,"J.J. Wurdack",90
"aspera",4.05,-66.81,"Wurdack, J. J., (US), US (UNITED STATES)",103
"aspera",5.8,-67.33,"Wurdack, J. J., (US), US (UNITED STATES)",120
"aspera",9.13333,-62.83333,"J. Wurdack",19
"aspera",5.35,-67.666667,"Carol A Todzia (TEX)",111
"aspera",-7.5,-57.25,"Wurdack, J.J.",335
"aspera",9.266667,-62.933333,"J. Wurdack",29
"aspera",9.170278,-79.420278,"John Wurdack",472
"aspera",8.81666,-62.45,"J. Wurdack",24
"aspera",9.12055,-79.04611,"J. Wurdack, US",10
"aspera",5.53,-54.8,"Wurdack, J. J., (US), US (UNITED STATES)",18
"aspera",14.73333,-83.88333,"J. J. Wurdack",59
"aspera",14.75,-83.88333,"J. J. Wurdack",59
"aspera",2.416667,-60.18,"Wurdack, J.J.",135
"aspera",2.42,-60.18,"Wurdack, J.J.",135
"aspera",0.424722,-60.187222,"Wurdack    , J.J",123
"aspera",3.41,-65.66,"Wurdack, J. J., (US), US (UNITED STATES)",1619
"aspera",3.61,-52.31,"Wurdack, J. J., (US), US (UNITED STATES)",137
"aspera",0.733333,-51.366667,"Wurdack, J.J.",81
"aspera",3.33,-56.81,"Wurdack, J. J., (US), US (UNITED STATES)",236
"aspera",3.16666,-56.48333,"J.j. wurdack",294
"aspera",0.333333,-56.816667,"Wurdack, J.J.",214
"aspera",3.1,-56.46,"Wurdack, J. J., (US), US (UNITED STATES)",244
"aspera",0.73,-51.37,"Wurdack, J.J.",81
"aspera",-0.03,-51.08,"Wurdack, J.J.",12
"aspera",3.38,-59.78,"Wurdack, J. J., (US), US (UNITED STATES)",88
"aspera",-2.93778648539846,-44.2352209866645,"A. C. Brade",10
"aspera",4.98,-60.61,"Wurdack, J. J., (US), US (UNITED STATES)",1293
"aspera",4.41,-65.83,"Wurdack, J. J., (US), US (UNITED STATES)",223
"aspera",-1.03515,-48.125749,"J. J. Wurdack",24
"aspera",-0.8583,-48.1417,"F.S. Meyer",11
"barbigera",-15.801111,-48.834722,"Freitas, A.L.",1205
"bipenicillata",-14.53,-54.51,"Meyer, F.S.",439
"bipenicillata",5.96,-67.36,"Wurdack, J. J., (US), US (UNITED STATES)",67
"bipenicillata",8.916667,-71.683333,"C.A. Todzia, 2002 (TEX)",12
"bipenicillata",6.83,-66.5,"Todzia, C. A., (TEX), University of Texas Austin",178
"bipenicillata",6.83333,-66.5,"Carol A. Todzia",178
"bipenicillata",9.7,-69.533333,"J.J. Wurdack",874
"bipenicillata",9.42416,-69.50861,"J.J. wurdack",715
"bipenicillata",5.68,-67.18,"Todzia, C. A., (TEX), University of Texas Austin",650
"bipenicillata",5.85,-67.483333,"J.J. Wurdack",62
"bipenicillata",5.75,-67.5,"J. Wurdack",91
"bipenicillata",5.53,-67.53,"Todzia, C. A., (TEX), University of Texas Austin",106
"bipenicillata",8.540833,-81.157222,"C.A. Todzia, 2002 (TEX)",908
"bipenicillata",5.55,-67.59,"Wurdack, J. J., (US), US (UNITED STATES)",66
"bipenicillata",7.8,-80.75,"C.A. Todzia, 2002 (TEX)",317
"bipenicillata",6.03,-67.36,"Todzia, C. A., (TEX), University of Texas Austin",60
"bipenicillata",4.157558,-73.635531,"C. Todzia (LL, TEX)",537
"catharinae",5.1,-67.3,"Wurdack, J. J., (US), US (UNITED STATES)",955
"catharinae",4.98,-67.3,"Wurdack, J. J., (US), US (UNITED STATES)",883
"catharinae",5.1,-67.4,"Wurdack, J. J., (US), US (UNITED STATES)",751
"catharinae",4.86,-67.45,"Wurdack, J. J., (US), US (UNITED STATES)",290
"catharinae",4.95,-67.4,"Wurdack, J. J., (US), US (UNITED STATES)",903
"catharinae",4.95,-67.4,"Wurdack, J. J., (US), US (UNITED STATES)",903
"dissitiflora",5.75,-66.05,"Wurdack, J. J., (US), US (UNITED STATES)",1743
"dissitiflora",1.53333,-65.81666,"J. Wurdack",792
"dissitiflora",1.433333,-65.783333,"Carol A Todzia (TEX)",413
"dissitiflora",1.43,-65.78,"Todzia, C. A., (TEX), University of Texas Austin",413
"dissitiflora",0.908333,-66.04,"Wurdack, J.J.",867
"dissitiflora",0.9,-66.04,"Todzia, C. A., (TEX), University of Texas Austin",867
"dissitiflora",5.91666,-66.38333,"J.J. Wurdack",1550
"dissitiflora",5.91,-66.38,"Wurdack, J. J., (US), US (UNITED STATES)",1550
"dissitiflora",0.86666,-66.08333,"Carol A. Todzia",750
"dissitiflora",0.88138,-66.08333,"J. Wurdack",1275
"dissitiflora",0.9,-66.066667,"Carol A Todzia (TEX)",1275
"dissitiflora",0.881389,-66.083333,"Wurdack, JJ",1275
"dissitiflora",0.78333,-66.18333,"J.J.Wurdack (US)",740
"dissitiflora",1.5,-65.85,"Wurdack, J. J., (US), US (UNITED STATES)",886
"dissitiflora",0.98,-65.93,"Wurdack, J. J., (US), US (UNITED STATES)",1443
"dissitiflora",7.1225,-66.16944,"Wurdack, J. J. (1956)",201
"duidae",4.41,-65.53,"Wurdack, J. J., (US), US (UNITED STATES)",1140
"duidae",4.8,-64.53,"Wurdack, J. J., (US), US (UNITED STATES)",1741
"duidae",3.83,-65.71,"Wurdack, J. J., (US), US (UNITED STATES)",685
"duidae",4.58333,-64.25,"Carol A. Todzia",1549
"duidae",4.58,-64.25,"Wurdack, J. J., (US), US (UNITED STATES)",1549
"duidae",4.51666,-65.58333,"Carol A. Todzia",896
"duidae",3.23,-65.56,"Wurdack, J. J., (US), US (UNITED STATES)",157
"duidae",4.81,-64.56,"Wurdack, J. J., (US), US (UNITED STATES)",1803
"duidae",4.81,-64.56,"Wurdack, J. J., (US), US (UNITED STATES)",1803
"duidae",4.75,-64.43,"Wurdack, J. J., (US), US (UNITED STATES)",1322
"duidae",4.41,-65.83,"Todzia, C. A., (TEX), University of Texas Austin",223
"edmundoi",-6.050278,-50.126389,"Paulo Guimar„es",579
"edmundoi",-6.052778,-50.126389,"Guimar„es, P.",579
"edmundoi",-6.641589,-51.97281,"F. S. Meyer",199
"fraterna",2.58333,-59.3667,"Wurdack, J. J., (US), US (UNITED STATES)",151
"fraterna",5.9,-61.0333,"Wurdack, J. J., (US), US (UNITED STATES)",1055
"fraterna",5.46667,-60.0667,"Wurdack, J. J., (US), US (UNITED STATES)",742
"fraterna",5.46667,-60.0667,"Wurdack, J. J., (US), US (UNITED STATES)",742
"fraterna",5.85,-62.03333,"Carol A. Todzia",1565
"fraterna",5.85,-62.03,"Wurdack, J. J., (US), US (UNITED STATES)",1565
"fraterna",3.633333,-65.466667,"Carol A Todzia (TEX)",1745
"fraterna",3.25,-65.71666,"Carol A Todzia (TEX)",170
"fraterna",3.58,-65.38,"Wurdack, J. J., (US), US (UNITED STATES)",821
"fraterna",5.66666,-61.5,"Carol A Todzia (TEX)",1274
"fraterna",5.833333,-62.683333,"J. Wurdack",742
"fraterna",5.933333,-62.566667,"J. Wurdack",1581
"fraterna",3.6,-65.38333,"Carol A. Todzia",2033
"fraterna",3.6,-65.38,"Wurdack, J. J., (US), US (UNITED STATES)",2033
"fraterna",3.83,-65.33,"Wurdack, J. J., (US), US (UNITED STATES)",901
"fraterna",5.08333,-61.11666,"Carol A Todzia (TEX)",878
"fraterna",5.08,-61.11,"Wurdack, J. J., (US), US (UNITED STATES)",878
"fraterna",5.91,-61,"Wurdack, J. J., (US), US (UNITED STATES)",1055
"fraterna",5.95,-60.63,"Wurdack, J. J., (US), US (UNITED STATES)",651
"fraterna",3.16,-65.51,"Wurdack, J. J., (US), US (UNITED STATES)",127
"fraterna",5.93,-61.4,"Wurdack, J. J., (US), US (UNITED STATES)",1401
"fraterna",5.91,-62.55,"Wurdack, J. J., (US), US (UNITED STATES)",1589
"fraterna",5.05,-61.36,"Wurdack, J. J., (US), US (UNITED STATES)",1192
"fraterna",5.91,-62.53,"Wurdack, J. J., (US), US (UNITED STATES)",1280
"johnwurdackiana",-16.065858,-50.178486,"Meyer, FS",777
"johnwurdackiana",-16.366667,-51.366389,"Ana Luiza Freitas Oliveira",445
"johnwurdackiana",-16.035709,-50.104255,"Meyer, F.S.",724
"johnwurdackiana",-16.066667,-50.183333,"Guimar„es, PJF",777
"johnwurdackiana",-14,-50,"C.A. Todzia",308
"kunhardtii",5.08,-67.31,"Wurdack, J. J., (US), US (UNITED STATES)",910
"kunhardtii",4.95,-67.4,"Wurdack, J. J., (US), US (UNITED STATES)",903
"llanorum",-13.65388,-60.83111,"J.J. Wurdack (US)",195
"llanorum",-13.55083,-61.05861,"J.J. Wurdack (US)",178
"llanorum",-13.55083,-61.05861,"J.J. Wurdack (US)",178
"llanorum",6.66,-65.71,"Wurdack, J. J., (US), US (UNITED STATES)",118
"llanorum",6.28333,-67.08333,"Carol A. Todzia",125
"llanorum",6.28,-67.08,"Wurdack, J. J., (US), US (UNITED STATES)",125
"llanorum",6.83333,-66.5,"Carol A. Todzia",178
