"specificEpithet","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"aegopogon",9,12,1965,-15.77970028,-47.92969894,"101343","UnB","spLink"
"aegopogon",14,12,1965,-15.77970028,-47.92969894,"101345","UnB","spLink"
"aegopogon",11,4,1976,-15.866667,-47.85,"101346","UnB","spLink"
"aegopogon",5,11,1973,-15.77970028,-47.92969894,"101347","UnB","spLink"
"aegopogon",15,2,1982,-15.566667,-48.033333,"101478","UnB","spLink"
"aegopogon",NA,NA,NA,-16.7686,-47.6136,"101488","UnB","spLink"
"aegopogon",19,1,1966,-14,-50,"106993","UnB","spLink"
"aegopogon",20,3,2000,-16.745944,-47.694667,"106994","UnB","spLink"
"aegopogon",5,12,1999,-15.066667,-50.166667,"10743","UnB","spLink"
"aegopogon",23,5,1994,-14.13249969,-47.50999832,"107521","UnB","spLink"
"aegopogon",19,11,1987,-14.13249969,-47.50999832,"110510","UnB","spLink"
"aegopogon",17,1,2012,-15.930833,-47.901944,"197962","UnB","spLink"
"aegopogon",20,12,1996,-15.583333,-47.883333,"7098","UnB","spLink"
"aegopogon",5,4,2004,-14.072694,-47.509333,"91980","UnB","spLink"
"aegopogon",2,3,1966,-16.7686,-47.6136,"96322","UnB","spLink"
"aegopogon",21,3,1994,-10.124444,-48.270556,"9668","JBB","spLink"
"aegopogon",15,2,1995,-17.56940079,-52.55110168,"15921","UFG","spLink"
"aegopogon",11,2,1996,-15.85249996,-48.95920181,"17730","UFG","spLink"
"aegopogon",5,11,2002,-16.25250053,-47.95029831,"20112","UFOP","spLink"
"aegopogon",8,12,1987,-15.85249996,-48.95920181,"7144","UEL","spLink"
"aegopogon",11,12,1965,-15.77970028,-47.92969894,"103357","IBt","spLink"
"aegopogon",2,12,1965,-16,-49,"103363","IBt","spLink"
"aegopogon",6,4,1966,-14,-46,"103474","IBt","spLink"
"aegopogon",2,3,1966,-17,-48,"103571","IBt","spLink"
"aegopogon",8,2,1970,-17.22220039,-46.87469864,"140642","IBt","spLink"
"aegopogon",19,11,1987,-14.13249969,-47.50999832,"218976","IBt","spLink"
"aegopogon",27,12,1978,-15.77970028,-47.92969894,"219467","IBt","spLink"
"aegopogon",4,1,1990,-15.911111,-47.914167,"238687","IBt","spLink"
"aegopogon",10,1,1990,-15.951944,-47.893611,"239721","IBt","spLink"
"aegopogon",9,1,1990,-15.965,-47.898611,"239727","IBt","spLink"
"aegopogon",29,11,1988,-14.13249969,-47.50999832,"261919","IBt","spLink"
"aegopogon",30,11,1988,-14.13249969,-47.50999832,"304544","IBt","spLink"
"aegopogon",12,1,1994,-20.24530029,-46.36579895,"334808","IBt","spLink"
"aegopogon",9,1,1995,-19.86529922,-47.43999863,"349251","IBt","spLink"
"aegopogon",13,12,2000,-15.77970028,-47.92969894,"354817","IBt","spLink"
"aegopogon",5,12,1999,-15.066667,-50.166667,"109944","UEFS","spLink"
"aegopogon",23,11,1996,-20.24530029,-46.36579895,"111912","UNICAMP","spLink"
"aegopogon",24,1,2005,-14.13249969,-47.50999832,"163009","UNICAMP","spLink"
"aegopogon",17,3,2012,-16.475753,-47.340471,"188217","UNICAMP","spLink"
"aegopogon",6,12,1994,-20.24530029,-46.36579895,"10232","UNESPSJRP","spLink"
"aegopogon",5,11,1997,-20.25,-47.47000122,"128566","USP","spLink"
"aegopogon",20,1,2002,-17.422833,-47.795583,"152741","USP","spLink"
"aegopogon",29,11,2003,-20.434444,-46.653333,"183751","USP","spLink"
"aegopogon",8,2,1987,-13.733333,-47.25,"49072","USP","spLink"
