"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"verticillaris","Tibouchina verticillaris",14,3,1997,-11.575,-50.977,"78709","UFPR","spLink"
"verticillaris","Tibouchina verticillaris",22,3,1997,-11.698,-51.428,"78712","UFPR","spLink"
"verticillaris","Tibouchina verticillaris",18,3,2012,-16.035709,-50.104255,"90150","UFPR","spLink"
"verticillaris","Tibouchina verticillaris",12,3,2008,-6.370830059,-44.36309814,"","UFPR","spLink"
"verticillaris","Tibouchina verticillaris",28,1,1976,-17.716667,-48.366667,"25338","ASU","spLink"
"verticillaris","Tibouchina verticillaris",10,3,1998,-46.833333,-70.583333,"57476","UFU","spLink"
"verticillaris","Tibouchina verticillaris",17,6,1998,-14.13249969,-47.50999832,"62706","UFU","spLink"
"verticillaris","Tibouchina verticillaris",18,2,2000,-14.15139961,-48.07830048,"37168","UCS","spLink"
"verticillaris","Tibouchina verticillaris",NA,11,1997,-12.85,-49.1,"100444","UnB","spLink"
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-14.4739,-48.4597,"100445","UnB","spLink"
"verticillaris","Tibouchina verticillaris",5,12,1967,-12.816667,-51.766667,"100470","UnB","spLink"
"verticillaris","Tibouchina verticillaris",15,11,1968,-14.666667,-52.35,"100471","UnB","spLink"
"verticillaris","Tibouchina verticillaris",18,2,2003,-14.396,-46.572917,"100476","UnB","spLink"
"verticillaris","Tibouchina verticillaris",3,3,1973,-14.116667,-47.516667,"100571","UnB","spLink"
"verticillaris","Tibouchina verticillaris",13,1,1977,-14.733333,-52.333333,"106513","UnB","spLink"
"verticillaris","Tibouchina verticillaris",10,2,1980,-15.916667,-50.15,"106514","UnB","spLink"
"verticillaris","Tibouchina verticillaris",8,2,1969,-12.9,-51.866667,"106516","UnB","spLink"
"verticillaris","Tibouchina verticillaris",10,4,1968,-12.9,-51.866667,"106518","UnB","spLink"
"verticillaris","Tibouchina verticillaris",6,1,1984,-16,-50.133333,"106520","UnB","spLink"
"verticillaris","Tibouchina verticillaris",14,11,1993,-17.366667,-52.166667,"134756","UnB","spLink"
"verticillaris","Tibouchina verticillaris",10,3,1998,-7.583333,-46.083333,"174321","UnB","spLink"
"verticillaris","Tibouchina verticillaris",23,3,2010,-8.807778,-49.082778,"181332","UnB","spLink"
"verticillaris","Tibouchina verticillaris",20,2,2001,-13.417222,-47.080278,"37321","UnB","spLink"
"verticillaris","Tibouchina verticillaris",9,2,2000,-15.8106,-54.9178,"96297","UnB","spLink"
"verticillaris","Tibouchina verticillaris",27,1,1991,-15.9343996,-50.14030075,"7287","JBB","spLink"
"verticillaris","Tibouchina verticillaris",18,3,1994,-10.253611,-48.095833,"9760","JBB","spLink"
"verticillaris","Tibouchina verticillaris",18,2,2000,-14.15139961,-48.07830048,"101042","UFBA","spLink"
"verticillaris","Tibouchina verticillaris",18,2,2000,-14.15139961,-48.07830048,"","UFBA","spLink"
"verticillaris","Tibouchina verticillaris",18,2,2003,-16.0821991,-48.50719833,"19253","UFOP","spLink"
"verticillaris","Tibouchina verticillaris",28,12,1969,-10.166667,-48.883333,"129319","IBt","spLink"
"verticillaris","Tibouchina verticillaris",28,12,1969,-10.166667,-48.883333,"140730","IBt","spLink"
"verticillaris","Tibouchina verticillaris",20,4,2005,-15.030833,-56.362222,"95297","UEFS","spLink"
"verticillaris","Tibouchina verticillaris",18,3,2012,-16.035709,-50.104255,"188212","UNICAMP","spLink"
"verticillaris","Tibouchina verticillaris",28,1,1976,-17.74169922,-48.625,"17444","USP","spLink"
"verticillaris","Tibouchina verticillaris",15,7,1979,-11.55000019,-41.15610123,"196245","USP","spLink"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",10,4,1968,-12.9,-51.8666666666667,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",5,12,1967,-12.3166666666667,-51.7666666666667,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",10,2,1980,-15.9166666666667,-50.15,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",8,2,1969,-12.9,-51.8666666666667,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",14,1,1968,-15.85,-52.25,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",NA,NA,NA,-6.61666666666667,-45.8833333333333,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",10,3,1998,-46.5,-70.35,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris",NA,NA,NA,-15.8,-48.77,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",NA,NA,NA,-11.3430555555556,-50.5836111111111,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",17,3,2010,-10.9169444444444,-49.6305555555556,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",18,3,2012,-16.0358333333333,-50.1041666666667,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",4,3,1978,-13.65,-48.4166666666667,NA,NA,"reflora"
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",25,1,2001,-13.5425,-48.0005555555556,NA,NA,"reflora"
