"specificEpithet","scientificName","day","month","year","latitude","longitude"
"aspera","Tibouchina aspera",27,5,2007,-8.761940002,-63.90390015
"aspera","Tibouchina aspera",25,6,1997,-4.756390095,-42.57559967
"aspera","Tibouchina aspera",23,5,1997,-4.585830212,-42.86420059
"aspera","Tibouchina aspera asperrima",NA,3,1962,-0.366667002,-51.06639862
"aspera","Tibouchina aspera",17,11,1948,-0.8583,-48.1417
"aspera","Tibouchina aspera",13,4,1998,-5.038060188,-42.45999908
"aspera","Tibouchina aspera",27,6,1999,-4.05,-41.44
"aspera","Tibouchina aspera",30,7,1995,3.26,-59.46
"aspera","Tibouchina aspera aspera",NA,5,1990,4.6,-66.24
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",8,7,1960,-0.0333333333333333,-51.0833333333333
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",16,9,1961,-0.733333333333333,-51.3666666666667
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",12,1,1969,2.41666666666667,-60.1833333333333
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",25,8,1987,1.3,-60.5833333333333
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",14,2,1974,-7.5,-57.25
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",10,12,1993,4.55,-71.3333333333333
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",15,12,1993,4.9,-68.3333333333333
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",26,10,2012,-3.39194444444444,-61.4422222222222
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",22,2,1980,-7.51666666666667,-63.1666666666667
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",28,10,2012,-4.49222222222222,-61.1641666666667
