"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"aspera","Tibouchina aspera Aubl.",12,1,1969,2.416667,-60.18,"26350","Instituto Nacional de Pesquisas da Amazônia (INPA)","gbif"
"aspera","Tibouchina aspera Aubl.",19,8,1969,3.61,-52.31,"2748131","US","gbif"
"aspera","Tibouchina aspera Aubl.",8,7,1963,3.33,-56.81,"2456574","US","gbif"
"aspera","Tibouchina aspera Aubl.",22,9,1963,3.16666,-56.48333,"3271751","MO","gbif"
"aspera","Tibouchina aspera Aubl.",22,9,1963,3.1,-56.46,"2586222A","US","gbif"
"aspera","Tibouchina aspera Aubl.",16,9,1961,0.73,-51.37,"K000972722","K","gbif"
"aspera","Tibouchina aspera Aubl.",8,7,1960,-0.03,-51.08,"K000972720","K","gbif"
"aspera","Tibouchina aspera Aubl.",18,4,1956,3.38,-59.78,"2221859","US","gbif"
"aspera","Tibouchina aspera Aubl.",6,7,1954,-2.93778648539846,-44.2352209866645,"00941573","NY","gbif"
"aspera","Tibouchina aspera Aubl.",31,12,1954,4.98,-60.61,"2169050","US","gbif"
"aspera","Tibouchina aspera Aubl.",16,2,1951,4.41,-65.83,"2121124","US","gbif"
"aspera","Tibouchina aspera Aubl.",22,1,1950,-1.03515,-48.125749,"01290905","NY","gbif"
"aspera","Tibouchina aspera Aubl.",17,11,1948,-0.8583,-48.1417,"11522","IAC","gbif"
"aspera","Tibouchina aspera",4,10,1987,-10.733333,-65.25,"958","FSL","spLink"
"aspera","Tibouchina aspera",29,3,1980,-1.05,-48.1166667,"1839053","MOBOT","spLink"
"aspera","Tibouchina aspera",25,8,1987,1.3,-60.58333,"3254557","MOBOT","spLink"
"aspera","Tibouchina aspera",NA,NA,1987,-10.73333,-65.25,"3274510","MOBOT","spLink"
"aspera","Tibouchina aspera",4,8,1981,-0.98333,-54.98333,"3299073","MOBOT","spLink"
"aspera","Tibouchina aspera",22,3,1992,-8.26666,-72.78333,"3401826","MOBOT","spLink"
"aspera","Tibouchina aspera",6,7,1954,-2.9344,-44.235,"941573","NYBG","spLink"
"aspera","Tibouchina aspera",17,11,1948,-0.858333,-48.1417,"1290904","NYBG","spLink"
"aspera","Tibouchina aspera",21,4,1986,-3.03,-60.58,"1290906","NYBG","spLink"
"aspera","Tibouchina aspera",21,4,1986,-3.03,-60.58,"1290907","NYBG","spLink"
"aspera","Tibouchina aspera",13,8,1980,-2.1717,-56.7447,"1290908","NYBG","spLink"
"aspera","Tibouchina aspera",29,3,1980,-1.05,-48.1166669,"1290910","NYBG","spLink"
"aspera","Tibouchina aspera",10,4,1987,-10.73,-65.25,"1290914","NYBG","spLink"
"aspera","Tibouchina aspera",4,8,1986,-2.666667,-60.333333,"1290916","NYBG","spLink"
"aspera","Tibouchina aspera",21,4,1986,-3.03,-60.58,"1290921","NYBG","spLink"
"aspera","Tibouchina aspera",22,3,1992,-8.27,-72.78,"1290927","NYBG","spLink"
"aspera","Tibouchina aspera",30,3,2011,-9.4458,-64.7797,"1855456","NYBG","spLink"
"aspera","Tibouchina aspera",21,7,2010,-0.5767,-51.1758,"1281327","NYBG","spLink"
"aspera","Tibouchina aspera",29,3,1980,-1.05,-48.116667,"131386","INPA","spLink"
"aspera","Tibouchina aspera",26,3,1986,-1.083333,-53.166667,"149008","INPA","spLink"
"aspera","Tibouchina aspera",25,8,1987,1.3,-60.583333,"153959","INPA","spLink"
"aspera","Tibouchina aspera",22,3,1992,-8.266667,-72.783333,"176458","INPA","spLink"
"aspera","Tibouchina aspera",4,10,1987,-10.733333,-65.25,"180813","INPA","spLink"
"aspera","Tibouchina aspera",23,10,1993,-8.6,-61.416667,"187654","INPA","spLink"
"aspera","Tibouchina aspera",4,8,1986,-2.666667,-60.333333,"195819","INPA","spLink"
"aspera","Tibouchina aspera",12,1,1998,2.81972,-60.6733,"196352","INPA","spLink"
"aspera","Tibouchina aspera",17,8,2000,-2.00306,-49.8544,"207994","INPA","spLink"
"aspera","Tibouchina aspera",15,8,1987,2.883333,-54.066667,"214819","INPA","spLink"
"aspera","Tibouchina aspera",12,1,1969,2.416667,-60.183333,"26350","INPA","spLink"
"aspera","Tibouchina aspera",22,1,1950,-0.858333,-48.1417,"5469","INPA","spLink"
"aspera","Tibouchina aspera",13,9,1980,-2.17139,-56.745,"96870","INPA","spLink"
"aspera","Tibouchina aspera",9,11,2014,-4.596111,-60.158056,"88160","UFPR","spLink"
"aspera","Tibouchina aspera",3,6,2010,-4.858890057,-43.35609818,"","UFPR","spLink"
"aspera","Tibouchina aspera",27,5,2007,-8.761940002,-63.90390015,"","UFPR","spLink"
"aspera","Tibouchina aspera",25,6,1997,-4.756390095,-42.57559967,"29294","UFU","spLink"
"aspera","Tibouchina aspera",23,5,1997,-4.585830212,-42.86420059,"179282","UnB","spLink"
"aspera","Tibouchina aspera asperrima",NA,3,1962,-0.366667002,-51.06639862,"75606","IBt","spLink"
"aspera","Tibouchina aspera",17,11,1948,-0.8583,-48.1417,"11522","IAC","spLink"
"aspera","Tibouchina aspera",13,4,1998,-5.038060188,-42.45999908,"53260","UEFS","spLink"
"aspera","Tibouchina aspera",27,6,1999,-4.05,-41.44,"125941","UNICAMP","spLink"
"aspera","Tibouchina aspera",30,7,1995,3.26,-59.46,"92187","UNICAMP","spLink"
"aspera","Tibouchina aspera aspera",NA,5,1990,4.6,-66.24,"99102","UNICAMP","spLink"
"aspera","Tibouchina aspera",23,5,1997,-4.585830212,-42.86420059,"6453","UFRPE","spLink"
"aspera","Tibouchina aspera",13,4,1998,-5.038060188,-42.45999908,"8033","UFRPE","spLink"
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",8,7,1960,-0.0333333333333333,-51.0833333333333,NA,NA,"reflora"
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",16,9,1961,-0.733333333333333,-51.3666666666667,NA,NA,"reflora"
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",12,1,1969,2.41666666666667,-60.1833333333333,NA,NA,"reflora"
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",25,8,1987,1.3,-60.5833333333333,NA,NA,"reflora"
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",14,2,1974,-7.5,-57.25,NA,NA,"reflora"
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",10,12,1993,4.55,-71.3333333333333,NA,NA,"reflora"
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",15,12,1993,4.9,-68.3333333333333,NA,NA,"reflora"
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",26,10,2012,-3.39194444444444,-61.4422222222222,NA,NA,"reflora"
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",22,2,1980,-7.51666666666667,-63.1666666666667,NA,NA,"reflora"
"aspera","MELASTOMATACEAE Tibouchina aspera Aubl.",28,10,2012,-4.49222222222222,-61.1641666666667,NA,NA,"reflora"
